record_id,status,n_points,y_start,y_end,x_start,x_end,arc_length,mean_curvature,cluster_5,cluster_8,cluster_12,cluster_15,cluster_20
FF2O3V-001,traced,8,121.0,307.0,534.0,620.5,219.6,0.00451,2,3,3,5,6
FF2O3V-002,traced,9,87.5,307.0,556.5,735.5,308.9,0.004748,4,7,9,12,16
FF2O3V-003,traced,6,191.5,311.0,563.0,801.0,273.5,0.002747,5,8,11,14,18
FF2O3V-004,traced,9,82.0,313.0,540.5,706.0,316.6,0.0056,3,5,7,9,11
FF2O3V-005,traced,7,153.0,314.0,540.5,687.0,222.3,0.003876,2,3,3,3,3
FF2O3V-006,traced,9,122.5,310.0,556.0,838.0,349.6,0.003019,5,8,12,15,19
FF2O3V-007,traced,10,95.5,308.0,551.5,738.0,313.6,0.004805,4,7,9,12,16
FF2O3V-008,traced,9,88.5,306.5,544.0,701.5,297.9,0.005201,4,7,9,12,15
FF2O3V-009,traced,8,109.0,311.5,544.0,785.0,333.0,0.004607,3,5,7,9,12
FF2O3V-010,traced,7,158.0,308.5,559.0,826.0,310.6,0.002202,5,8,12,15,19
FF2O3V-011,traced,8,91.0,314.5,537.5,739.5,320.4,0.003467,3,5,7,9,12
FF2O3V-013,traced,8,94.5,310.0,555.5,736.0,315.4,0.005145,4,7,9,11,14
FF2O3V-014,traced,9,90.0,309.0,554.0,730.0,310.7,0.006281,4,7,9,11,14
FF2O3V-015,traced,9,94.0,307.5,551.0,724.5,303.2,0.005618,4,7,9,12,16
FF2O3V-016,traced,9,92.0,309.0,559.0,741.5,312.0,0.00472,4,7,9,11,14
FF2O3V-017,traced,10,90.0,307.0,550.0,744.0,310.9,0.005194,4,7,9,12,16
FF2O3V-018,traced,9,109.5,309.5,553.5,754.5,303.8,0.004952,4,7,9,11,14
FF2O3V-019,traced,9,56.0,312.5,542.0,661.5,295.0,0.003809,3,5,7,9,11
FF2O3V-020,traced,9,82.5,307.0,551.5,709.5,304.7,0.00489,4,7,9,12,16
FF2O3V-021,traced,8,85.0,308.5,554.5,723.0,309.8,0.00535,4,7,9,11,14
FF2O3V-022,traced,9,88.0,308.5,553.0,715.0,299.1,0.006346,4,7,9,11,14
FF2O3V-023,traced,10,117.5,311.0,559.0,775.5,333.8,0.005292,5,8,10,13,17
FF2O3V-024,traced,9,114.0,311.5,558.0,782.0,310.2,0.003195,5,8,10,13,17
FF2O3V-025,traced,8,73.5,313.0,539.5,599.0,300.8,0.005877,3,5,6,8,10
FF2O3V-026,traced,9,134.0,310.0,556.5,824.0,325.4,0.002526,5,8,12,15,19
FF2O3V-027,traced,7,151.5,307.0,550.5,682.5,213.0,0.00559,2,3,3,4,5
FF2O3V-028,traced,5,216.0,315.0,540.0,659.0,155.4,0.002283,2,4,5,7,9
FF2O3V-029,traced,8,165.0,311.5,557.0,753.5,250.6,0.005206,5,8,11,14,18
FF2O3V-030,traced,8,157.0,310.0,540.0,684.0,214.3,0.005078,2,3,3,3,3
FF2O3V-031,traced,10,106.0,311.0,553.5,783.5,325.2,0.004752,5,8,10,13,17
FF2O3V-032,traced,7,203.5,315.0,569.0,709.5,217.1,0.011273,1,1,1,1,1
FF2O3V-033,traced,9,90.5,306.0,551.5,719.5,291.3,0.003329,4,7,9,12,16
FF2O3V-034,traced,9,82.0,312.5,540.0,578.0,272.8,0.005207,3,5,6,8,10
FF2O3V-035,traced,4,223.5,307.5,558.0,729.5,191.5,0.001468,2,4,4,6,7
FF2O3V-036,traced,10,85.0,308.0,552.5,743.5,307.5,0.004072,4,7,9,12,16
FF2O3V-037,traced,9,88.0,309.5,552.0,708.5,306.8,0.00554,4,7,9,11,14
FF2O3V-038,traced,11,115.5,311.0,557.0,775.5,333.4,0.006239,5,8,10,13,17
FF2O3V-039,traced,10,72.0,309.5,547.5,705.5,302.7,0.004758,4,7,9,12,15
FF2O3V-040,traced,9,157.5,314.0,539.5,683.5,218.6,0.008034,2,3,3,3,4
FF2O3V-041,traced,11,82.0,312.5,543.5,691.0,308.2,0.006055,3,5,7,9,11
FF2O3V-042,traced,11,66.5,305.5,532.0,463.5,292.0,0.0052,3,6,8,10,13
FF2O3V-043,traced,8,156.5,309.0,548.0,683.5,208.6,0.005954,2,3,3,4,5
FF2O3V-044,traced,8,114.5,310.5,554.5,771.5,331.8,0.005604,5,8,10,13,17
FF2O3V-045,traced,9,100.0,308.0,551.5,753.5,302.1,0.004379,4,7,9,12,16
FF2O3V-046,traced,7,137.5,304.5,553.0,639.5,200.5,0.011711,1,2,2,2,2
FF2O3V-047,traced,7,82.5,305.0,554.0,722.5,301.5,0.00426,4,7,9,12,16
FF2O3V-048,traced,10,87.5,309.0,555.0,722.5,305.8,0.005226,4,7,9,11,14
FF2O3V-049,traced,8,103.0,306.5,557.5,789.5,311.2,0.001525,5,8,12,15,20
FF2O3V-050,traced,8,82.0,305.5,557.0,694.5,301.3,0.005676,4,7,9,12,16
FF2O3V-051,traced,8,83.0,308.5,548.0,713.0,308.8,0.004861,4,7,9,12,15
FF2O3V-052,traced,9,115.0,310.0,559.0,774.0,328.6,0.006693,5,8,10,13,17
FF2O3V-054,traced,10,67.0,313.0,538.0,586.5,304.2,0.005588,3,5,6,8,10
FF2O3V-055,traced,8,92.5,309.5,544.5,719.0,307.9,0.005067,4,7,9,12,15
FF2O3V-056,traced,8,89.0,308.5,545.5,730.0,315.6,0.004873,4,7,9,12,15
FF2O3V-057,traced,5,195.5,307.5,547.0,669.0,166.6,0.002627,2,4,4,6,8
